address,area,price,longtitude,latitude
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Сызранский пер., 17",40.6,75000,56.771018,60.607149
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 57",49.6,70161,56.78673,60.512242
"Екатеринбург, ул. Татищева, 49",67.0,100000,56.834737,60.565575
"Екатеринбург, Машинная ул., 46",68.0,94118,56.804436,60.630883
"Екатеринбург, Машинная ул., 1Бк2",134.8,81231,56.813247,60.630281
"Екатеринбург, Свердловская область, Екатеринбург, район Железнодорожный, Летчиков ул, 7",34.0,60294,56.861796,60.576705
"Екатеринбург, ул. Разливная, д. 50",46.7,74946,56.766105,60.544384
"Екатеринбург, ул. Крестинского, д. 4",36.0,97222,56.792187,60.609853
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 68",62.0,68532,56.786069,60.516033
"Екатеринбург, мкр. Светлый, стр. 6",40.0,59750,56.780398,60.700529
"Екатеринбург, Блюхера 99",65.0,84615,56.865279,60.667956
"Екатеринбург, Рощинская ул., 28",41.0,66463,56.782953,60.668028
"Екатеринбург, ул. Евгения Савкова, 3",33.0,68788,56.795466,60.49451
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Кунарская ул., 36",37.5,68800,56.885432,60.501786
"Екатеринбург, ул. Чкалова, стр. 22",67.5,76889,56.810369,60.577083
"Екатеринбург, микрорайон Светлый, 1",30.0,81667,56.778875,60.699316
"Екатеринбург, ул. Новосибирская, стр. 3.4",55.5,81964,56.76083,60.591069
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Циолковского ул, 29",40.0,111750,56.804554,60.603502
"Екатеринбург, ул. Чкалова, 241",104.0,63462,56.783204,60.540979
"Екатеринбург, ул. Евгения Савкова, д. 35",81.2,57882,56.789333,60.49
"Екатеринбург, ул. Чкалова, стр. 22",67.5,76889,56.810369,60.577083
"Екатеринбург, Самолётная ул., 23",87.0,66092,56.786932,60.638842
"Екатеринбург, ул.Стачек, д. 68",83.0,78193,56.897709,60.61774
"Екатеринбург, Самолётная ул., 33",35.1,76923,56.783954,60.634449
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",48.2,73651,56.78633,60.646001
"Екатеринбург, Чкаловский район, микрорайон Химмаш, ул. Орденоносцев, 8",89.0,61685,56.753172,60.690351
"Екатеринбург, Свердловская область, г Екатеринбург, ул Токарей 26",60.0,90500,56.836707,60.56094
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Рощинская, 21 к1",63.0,65873,56.7824,60.666636
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Начдива Онуфриева, 6 к1",38.0,86579,56.804377,60.545408
"Екатеринбург, Билимбаевская ул., 5",84.0,58333,56.87893,60.520471
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 24",103.0,73786,56.78314,60.545947
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Ремесленный пер., 6",79.6,55276,56.771506,60.611758
"Екатеринбург, Кировский район, микрорайон Пионерский, Ирбитская ул., 68",70.0,72143,56.864418,60.641779
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",69.7,67862,56.789471,60.481807
"Екатеринбург, Таватуйская ул., 1Г",54.1,70240,56.867562,60.540809
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",90.9,76458,56.812897,60.574702
"Екатеринбург, пос. Совхозный, ул. Мостовая, стр. 47",56.0,58929,56.765809,60.552819
"Екатеринбург, ул. Машинная/Фурманова/Цвиллинга/Отто Шмидта, стр. 1.5",45.0,93000,56.812148,60.631027
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Вилонова, 14А",50.0,85000,56.865766,60.642381
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 95",62.0,60432,56.791394,60.503681
"Екатеринбург, ул. Стрелочников, д. 2",121.0,56000,56.855802,60.5825
"Екатеринбург, ул. Евгения Савкова, 35/2",22.0,78182,56.788505,60.488392
