address,area,price
"Екатеринбург, Самолётная ул., 23",87.0,66092
"Екатеринбург, ул.Стачек, д. 68",83.0,78193
"Екатеринбург, Самолётная ул., 33",35.1,76923
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",48.2,73651
"Екатеринбург, Чкаловский район, микрорайон Химмаш, ул. Орденоносцев, 8",89.0,61685
"Екатеринбург, Свердловская область, г Екатеринбург, ул Токарей 26",60.0,90500
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Рощинская, 21 к1",63.0,65873
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Начдива Онуфриева, 6 к1",38.0,86579
"Екатеринбург, Билимбаевская ул., 5",84.0,58333
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 24",103.0,73786
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Ремесленный пер., 6",79.6,55276
"Екатеринбург, Кировский район, микрорайон Пионерский, Ирбитская ул., 68",70.0,72143
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",69.7,67862
"Екатеринбург, Таватуйская ул., 1Г",54.1,70240
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",90.9,76458
"Екатеринбург, пос. Совхозный, ул. Мостовая, стр. 47",56.0,58929
"Екатеринбург, ул. Машинная/Фурманова/Цвиллинга/Отто Шмидта, стр. 1.5",45.0,93000
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Вилонова, 14А",50.0,85000
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 95",62.0,60432
"Екатеринбург, ул. Стрелочников, д. 2",121.0,56000
"Екатеринбург, ул. Евгения Савкова, 35/2",22.0,78182
"Екатеринбург, ул. Вильгельма де Геннина, 42",50.0,68000
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 93",37.0,77027
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",54.0,103704
"Екатеринбург, ул. Машинистов, 3",38.0,94737
"Екатеринбург, ул. Чайковского, 90",100.0,86500
"Екатеринбург, ул. Фурманова, 124",140.0,170714
"Екатеринбург, ул. Горького, 31",265.0,437736
"Екатеринбург, мкр. Светлый, стр. 7",46.0,54326
"Екатеринбург, Свердловская обл, Екатеринбург, ЖБИ, ул. 40-летия Комсомола, 24",24.5,95510
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Краснолесья, 141",41.0,70732
"Екатеринбург, пер. Трактористов, 4",107.0,72430
"Екатеринбург, ул. Щербакова, 74",41.0,78049
"Екатеринбург, ул. Белинского, д. 163б",106.6,71000
"Екатеринбург, Гончарный пер., 4",61.0,64426
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Крупносортщиков, 12",40.6,73645
"Екатеринбург, Свердловская область, Екатеринбург, район Верх-Исетский, Ленина пр-кт, 13А",88.0,76125
"Екатеринбург, Латвийская ул., 56",22.0,90455
"Екатеринбург, ул. Токарей, 26",42.0,106905
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Старых Большевиков, 3",46.0,78043
"Екатеринбург, ул. Белинского, 54",158.0,101266
"Екатеринбург, Якутская ул., 10",77.0,57143
"Екатеринбург, Гончарный пер., 4",61.0,64426
"Екатеринбург, ул. Евгения Савкова, д. 35",74.0,62162
"Екатеринбург, ул. Шаумяна/Московская/Фурманова, стр. 1",54.6,84799
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",41.1,77129
"Екатеринбург, ул. Академика Вонсовского, 21/2",85.0,87647
"Екатеринбург, ул. Ползунова/Краснофлотцев/Даниловская/Замятина, стр. 2",43.6,89450
"Екатеринбург, Железнодорожный район, микрорайон Вокзальный, Гражданская ул., 11",141.0,72340
"Екатеринбург, ул.Педагогическая/Гагарина/Вишневая/Мира/Библиотечная, стр. 48-1",45.2,86283
"Екатеринбург, ул. Азина, стр. 22",44.0,90682
"Екатеринбург, пр-т Космонавтов, д. 11, корп. 1.1",38.4,76042
"Екатеринбург, коттеджный пос. Карасьеозёрский-2, Малогородская ул., 4",96.0,83021
"Екатеринбург, ул. Краснолесья, 109",82.5,58182
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",74.6,63673
"Екатеринбург, Машинная ул., 44к2",32.2,108075
"Екатеринбург, Латвийская ул.",23.0,76957
"Екатеринбург, ул. Чкалова, стр. 22",89.3,73908
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской, 106",50.0,64000
"Екатеринбург, ул. Евгения Савкова, 29",41.5,67470
"Екатеринбург, ул. Юлиуса Фучика, 3",98.4,111789
"Екатеринбург, ул. Щербакова, 77к1",40.0,97500
"Екатеринбург, ул. Краснолесья, 24",43.0,67442
"Екатеринбург, ул. Николая Островского, 5",58.0,91379
"Екатеринбург, Ломоносова , 10",35.5,76028
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Учителей, 8",40.8,83088
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Восстания, 116",69.0,60725
"Екатеринбург, Чемпионов , 3",52.4,82061
"Екатеринбург, Бакинских комиссаров , 105",50.1,89820
"Екатеринбург, 40-летия Комсомола , 28",57.0,75439
"Екатеринбург, Кировградская , 50",69.1,79595
"Екатеринбург, Трамвайный пер. , 2 к 2",68.4,106725
"Екатеринбург, ул. Щербакова, 77к3",38.3,98695
"Екатеринбург, Суходольская ул., 47",90.0,59444
"Екатеринбург, Кировский район, микрорайон Пионерский, Боровая ул., 31",44.7,91723
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",43.6,59633
"Екатеринбург, Луганская ул., 6",47.7,85535
"Екатеринбург, ул. Блюхера, 97",20.0,111000
"Екатеринбург, Союзная ул., 4",36.0,110833
"Екатеринбург, ул Кузнечная, 83",51.2,90820
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Расточная ул., 31А",53.8,72472
"Екатеринбург, ул. Чемпионов, 5",60.0,77415
"Екатеринбург, ул. Водоёмная, стр. 13",51.0,81373
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Стачек, 4",60.4,59603
"Екатеринбург, ул. Азина, 57",70.0,105143
"Екатеринбург, ул. Щербакова, 74",59.0,66102
"Екатеринбург, ул. Анатолия Мехренцева, 9",37.0,71622
"Екатеринбург, ул. Евгения Савкова, д. 35",61.1,61375
"Екатеринбург, ул. Чкалова, стр. 22",89.3,73908
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",60.0,70167
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 76",79.0,56329
"Екатеринбург, Орджоникидзевский район, микрорайон Уралмаш, ул. Калинина, 3",42.0,97595
"Екатеринбург, ул. Чемпионов, д. 4",28.2,81560
"Екатеринбург, Дорожная ул., 19",76.4,66754
"Екатеринбург, Свердловская обл, Екатеринбург, Завокзальный, ул. Летчиков, 7",32.0,61562
"Екатеринбург, пер. Широкий, стр. 2а",72.0,66694
"Екатеринбург, Свердловская обл, Екатеринбург, Вторчермет, ул. Братская, 27/3",84.0,53571
"Екатеринбург, Свердловская обл, Екатеринбург, Уктус, ул. Патриотов, 6",76.0,50658
"Екатеринбург, Свердловская обл, Екатеринбург, Вторчермет, ул. Братская, 27/1",84.8,73113
"Екатеринбург, Широкий пер., 2А",57.0,67772
"Екатеринбург, ул. Студенческая, д. 1, секц. 2.1-2.2",30.0,93333
"Екатеринбург, ул. Бажова, 166",95.0,55000
"Екатеринбург, ул. Рябинина, 21",62.0,59677
"Екатеринбург, ул. Азина, 27",96.3,79413
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Пехотинцев, 3к4",46.0,72826
"Екатеринбург, микрорайон Вторчермет, Чкаловский район, Екатеринбург, Свердловская область, Братская улица, 27к3",44.0,67045
"Екатеринбург, пр-т Академика Сахарова/ул. Вильгельма де Геннина/Тимофеева-Ресовского/Рябинина, стр. 26.4.2",28.8,71875
"Екатеринбург, ул. Чкалова, 258",72.0,68750
"Екатеринбург, ул. Филатовская/Мезенская/Латвийская/Логиновская, ЖК «Хрустальные ключи»",23.0,34783
"Екатеринбург, ул. Восточная, д. 31",40.5,91358
"Екатеринбург, ул. Чемпионов, 4",53.0,83019
"Екатеринбург, ул. Крауля/Рабочих/Красных Зорь/Лоцмановых, ЖК «Русь»",35.0,98571
