address,price
"Екатеринбург, проспект Космонавтов, 47",71664
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",101341
"Екатеринбург, улица Дарвина, 15",60263
"Екатеринбург, Орджоникидзевский район, улица Красных Борцов, 3",74799
"Екатеринбург, улица Железнодорожников, 78",67874
"Екатеринбург, улица Серафимы Дерябиной, 30Б",76667
"Екатеринбург, Кировский район, микрорайон Пионерский, Асбестовский переулок, 7",80247
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",70502
"Екатеринбург, улица Шейнкмана, 90",130256
"Екатеринбург, Орджоникидзевский район, улица Красных Борцов, 21",75453
"Екатеринбург, Восточная улица, 31",86199
"Екатеринбург, Прибалтийская улица, 31/1",54688
"Екатеринбург, улица Репина, 84",83303
"Екатеринбург, Широкий переулок, 2А",63733
"Екатеринбург, улица Радищева, 10",156667
"Екатеринбург, Техническая улица, 148",76324
"Екатеринбург, Восточная улица, 92",85135
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",80307
"Екатеринбург, Авиационная улица, 83",92593
"Екатеринбург, улица Готвальда, 3",74268
"Екатеринбург, улица Шейнкмана, 90",110246
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 29",66349
"Екатеринбург, улица Николая Островского, 1",107940
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11, к3.1",81500
"Екатеринбург, улица Гагарина, 33",105159
"Екатеринбург, улица Миномётчиков, 26",59404
"Екатеринбург, микрорайон Автовокзал",100776
"Екатеринбург, Новая улица, 5",49034
"Екатеринбург, квартал Центральный, жилой комплекс Да Винчи",103750
"Екатеринбург, микрорайон Автовокзал",80176
"Екатеринбург, улица Крауля, 53",72093
"Екатеринбург, улица Фрунзе, 20",85000
"Екатеринбург, улица Евгения Савкова, 35",57100
"Екатеринбург, улица Евгения Савкова, 35/2",69184
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Менделеева, 14",70805
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Сулимова, 3",76600
"Екатеринбург, улица Белинского, 41",151163
"Екатеринбург, Верх-Исетский район, микрорайон Широкая Речка, улица Анатолия Муранова, 18",79734
"Екатеринбург, Дорожная улица, 4Ж",48803
"Екатеринбург, Юбилейная, 3",67000
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская",62800
"Екатеринбург, Победы, 11",52548
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",73000
"Екатеринбург, Гурзуфская улица, 16",65224
"Екатеринбург, микрорайон Академический, улица Павла Шаманова, 8",71250
"Екатеринбург, улица Розы Люксембург, 69/2",119670
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Парниковая улица, 2",91549
"Екатеринбург, улица Готвальда, 19Б",62521
"Екатеринбург, Кировский район, микрорайон Втузгородок, Академическая улица, 11А",55882
"Екатеринбург, микрорайон Уктус",106689
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 29",62939
"Екатеринбург, Самолётная улица, 1",67944
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",121661
"Екатеринбург, проспект Космонавтов, 29Б",71429
"Екатеринбург, улица Евгения Савкова, 35/2",89048
"Екатеринбург, микрорайон Автовокзал",93356
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 41",72917
"Екатеринбург, Чкаловский район, микрорайон Светлый, 4",73214
"Екатеринбург, улица Евгения Савкова, 35",57100
"Екатеринбург, улица Хомякова, 17",107811
"Екатеринбург, улица Краснолесья, 139",67073
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Сулимова, 3",76600
"Екатеринбург, улица Владимира Высоцкого, 4/1",72500
"Екатеринбург, Кузнечная улица, 83",101392
"Екатеринбург, Дорожная улица, 4Ж",48803
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, улица Пехотинцев, 4к1",69767
"Екатеринбург, Авиационная улица, 63к2",84643
"Екатеринбург, Красный переулок, 5к2",129437
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, Комсомольская улица, 78",111290
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",120755
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",80000
"Екатеринбург, микрорайон ЖБИ",79500
"Екатеринбург, Красный переулок, 5к2",129437
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Парниковая улица, 3А",100000
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",66339
"Екатеринбург, Чкаловский район, микрорайон Химмаш, улица Грибоедова, 20А",83682
"Екатеринбург, Мичурина, 10б",69367
"Екатеринбург, Восточная улица, 31",86423
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 70",75453
"Екатеринбург, улица Лётчиков, 7",68000
"Екатеринбург, Широкий переулок, 2А",63733
"Екатеринбург, Кировский район, микрорайон Втузгородок, Педагогическая улица, 15",77855
"Екатеринбург, улица Анатолия Мехренцева, 32",71979
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",85495
"Екатеринбург, улица Бакинских Комиссаров, 113",81731
"Екатеринбург, Советская улица, 6",74395
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Смазчиков, 18",92140
"Екатеринбург, Орджоникидзевский район, улица Ильича, 46",74324
"Екатеринбург, проспект Ленина, 54к3",90376
"Екатеринбург, улица Фурманова, 125",83871
"Екатеринбург, улица Новгородцевой, 15",88589
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Шефская улица, 96",63765
"Екатеринбург, улица Щорса, 103",105828
"Екатеринбург, улица Рябинина, 21",82160
"Екатеринбург, улица Черепанова, 30",66410
"Екатеринбург, Походная улица, 69",67019
"Екатеринбург, Верх-Исетский район, микрорайон Широкая Речка, улица Соболева, 19",56065
