address,price
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Баумана, 32А",57971
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",79500
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Агрономическая улица, 41",66000
"Екатеринбург, улица Белинского, 180",90157
"Екатеринбург, Филатовская улица",68600
"Екатеринбург, Чкаловский район, микрорайон Ботанический",99483
"Екатеринбург, Восточная улица, 66",87576
"Екатеринбург, микрорайон Уктус",106290
"Екатеринбург, Комсомольская улица, 78",85765
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Кунарская улица, 63",48413
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",137750
"Екатеринбург, микрорайон Юго-Западный, улица Академика Бардина, 5к3",56474
"Екатеринбург, улица Вильгельма де Геннина, 40",75130
"Екатеринбург, Латвийская улица, 18",44131
"Екатеринбург, улица Владимира Высоцкого, 30",68750
"Екатеринбург, улица Крестинского, 57",81933
"Екатеринбург, микрорайон Академический, улица Павла Шаманова, 4",79843
"Екатеринбург, ул.Маневровая-Таватуйская",71959
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",66205
"Екатеринбург, улица Чкалова, 45",93514
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, улица Софьи Перовской, 113",59322
"Екатеринбург, микрорайон ЖБИ",86500
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Агрономическая улица, 30",62785
"Екатеринбург, Чкаловский район, микрорайон Химмаш, улица Косарева, 19",55556
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",79500
"Екатеринбург, Машинная улица, 1Бк2",83746
"Екатеринбург, улица Николая Островского, 1",81059
"Екатеринбург, Октябрьский район, микрорайон Компрессорный, жилой комплекс Хрустальные Ключи",68100
"Екатеринбург, улица Щербакова, 77к1",79152
"Екатеринбург, Юбилейная, 22",54348
"Екатеринбург, микрорайон Уктус",108296
"Екатеринбург, улица Щербакова, 5к2",64334
"Екатеринбург, Переходный переулок, 8А",64480
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",55599
"Екатеринбург, улица Луначарского, 189",78475
"Екатеринбург, улица Краснолесья, 103",60625
"Екатеринбург, Орджоникидзевский район, улица Новаторов, 14",61860
"Екатеринбург, Верх-Исетский район, жилой комплекс Суходольский Квартал",60024
"Екатеринбург, Орджоникидзевский район, улица Новаторов, 8",111392
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Коллективный переулок, 11",67114
"Екатеринбург, микрорайон ЖБИ, улица Сыромолотова, 20",65769
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, улица Краснолесья, 103",60625
"Екатеринбург, микрорайон Юго-Западный, улица Академика Бардина, 5к3",56474
"Екатеринбург, микрорайон Уктус",66631
"Екатеринбург, Орджоникидзевский район, улица Новаторов, 8",111392
"Екатеринбург, улица Академика Шварца, 6к2",80000
"Екатеринбург, Чкаловский район",109576
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Шефская улица, 97",67606
"Екатеринбург, Октябрьский район, микрорайон Синие Камни, улица Анны Бычковой, 22",57955
"Екатеринбург, микрорайон ЖБИ",78481
"Екатеринбург, Водонасосная улица, 27к1",72727
"Екатеринбург, улица Анри Барбюса, 6",109477
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",95150
"Екатеринбург, Орджоникидзевский район, Социалистическая улица, 7А",59818
"Екатеринбург, улица Татищева, 88",76333
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",100729
"Екатеринбург, Московская улица, 75",128947
"Екатеринбург, Суходольская улица, 47",66298
"Екатеринбург, Кировский район, микрорайон Пионерский",97912
"Екатеринбург, Дорожная улица, 13",62969
"Екатеринбург, Кировский район, микрорайон Пионерский",64808
"Екатеринбург, Октябрьский район, микрорайон Кольцово, улица Авиаторов, 12",68915
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",65412
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",120755
"Екатеринбург, улица Краснолесья, 161",66585
"Екатеринбург, Кировский район, микрорайон Втузгородок, Студенческая улица, 80",96552
"Екатеринбург, улица Щорса, 105",97884
"Екатеринбург, Орджоникидзевский район, улица Новаторов, 14",61860
"Екатеринбург, улица Краснолесья, 72",67732
"Екатеринбург, микрорайон Уктус",67178
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская улица, 45",73548
"Екатеринбург, улица Щорса, 105",113333
"Екатеринбург, Чкаловский район",109651
"Екатеринбург, проспект Седова, 61",52765
"Екатеринбург, Кировский район, микрорайон Пионерский, Солнечная улица, 21",84444
"Екатеринбург, микрорайон ЖБИ",77140
"Екатеринбург, улица Миномётчиков, 40",57719
"Екатеринбург, Чкаловский район, микрорайон Светлый, 5",62778
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",96250
"Екатеринбург, Комсомольская улица, 78",92593
"Екатеринбург, улица Декабристов, 4",80445
"Екатеринбург, улица Новгородцевой, 15",84979
"Екатеринбург, Орджоникидзевский район, улица Машиностроителей, 37",105357
"Екатеринбург, микрорайон Академический, улица Павла Шаманова, 9",76543
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11, к3.2",65700
"Екатеринбург, микрорайон ЖБИ, Сиреневый бульвар, 21",74324
"Екатеринбург, Чкаловский район, микрорайон Светлый, 5",73333
"Екатеринбург, улица Щорса, 54",88372
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, Рощинская улица, 72А",69643
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Ульяновская улица, 11",64423
"Екатеринбург, микрорайон Автовокзал",101850
"Екатеринбург, микрорайон ЖБИ",84831
"Екатеринбург, улица Анатолия Мехренцева, 3",67470
"Екатеринбург, Чкаловский район, микрорайон Химмаш, Южногорская улица, 11",69000
"Екатеринбург, ул.Маневровая-Таватуйская",72296
"Екатеринбург, Ереванская улица, 28",57576
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Братская улица, 27к2",52632
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская",62300
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Аптекарская улица, 47",50340
"Екатеринбург, проспект Космонавтов, 68",71146
"Екатеринбург, микрорайон ЖБИ",86500
"Екатеринбург, микрорайон ЖБИ, Панельная улица, 9А",130769
"Екатеринбург, улица Краснолесья, 72",66667
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",75000
"Екатеринбург, Кировский район, микрорайон Пионерский, Шадринский переулок, 14к1",98639
"Екатеринбург, переулок Энергетиков, 4А",54386
"Екатеринбург, Филатовская улица",68600
"Екатеринбург, Орджоникидзевский район, Социалистическая улица, 7",53182
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 29",64563
"Екатеринбург, улица Папанина, 5",63510
"Екатеринбург, микрорайон Уктус",106290
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Ремесленный переулок, 6",78049
"Екатеринбург, улица Циолковского, 29Ж",107908
"Екатеринбург, улица 8 Марта, 181к5",85714
"Екатеринбург, Ангарская улица, 46",56383
"Екатеринбург, Чкаловский район, микрорайон Ботанический, Родонитовая улица, 9",76056
"Екатеринбург, Октябрьский район, микрорайон Синие Камни, бульвар Есенина, 20",67209
"Екатеринбург, ул.Маневровая-Таватуйская",72296
"Екатеринбург, Самолётная улица, 1",82205
"Екатеринбург, Техническая улица, 41",73871
"Екатеринбург, микрорайон ЖБИ",86500
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Кобозева, 114",47000
"Екатеринбург, Кировский район, микрорайон Пионерский, Уральская улица, 57к2",90545
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",74500
"Екатеринбург, Верх-Исетский бульвар, 25",76747
"Екатеринбург, Октябрьский район, микрорайон Кольцово, Атмосферная улица, 11",73770
"Екатеринбург, Филатовская улица",68600
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",66144
"Екатеринбург, улица Рутминского, 4",73798
"Екатеринбург, микрорайон Уктус",101956
"Екатеринбург, улица Академика Вонсовского, 21",59815
"Екатеринбург, улица Шевченко, 18",122951
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",147323
"Екатеринбург, улица Гастелло, 25",76744
"Екатеринбург, Чкаловский район",103452
"Екатеринбург, улица Краснолесья, 10",103947
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",67192
