address,area,price,longtitude,latitude
"Санкт-Петербург, пос. Парголово, ул. Фёдора Абрамова, 4",28.0,178571,60.070253,30.334993
"Санкт-Петербург, ул. Коллонтай, 31к2",40.2,133085,59.922476,30.484581
"Санкт-Петербург, б-р Александра Грина, д. 3, стр. 1",25.0,111400,59.936007,30.200515
"Санкт-Петербург, пос. Шушары, территория Славянка, Галицкая ул., 6к6",83.0,79506,59.73033,30.457479
"Санкт-Петербург, пр-т Ветеранов, 175к4",32.3,126935,59.844081,30.108366
"Санкт-Петербург, пр-т Героев, 18",42.0,98810,59.86673,30.167709
"Санкт-Петербург, Кременчугская ул., 19к2",75.4,218833,59.91982,30.371132
"Санкт-Петербург, ул. Димитрова, 2",106.0,122642,59.845541,30.372309
"Санкт-Петербург, Санкт-Петербург, Комендантский пр-кт, 60",81.0,119753,60.035351,30.225614
"Санкт-Петербург, Пискаревский пр-т, стр. 12.5",23.3,109442,59.957674,30.406535
"Санкт-Петербург, Санкт-Петербург, улица Типанова",25.1,177291,59.852524,30.343123
"Санкт-Петербург, пр-т Дальневосточный, д. 12, корп. 2",93.8,152441,59.913726,30.438479
"Санкт-Петербург, ул. Салова, д. 61, лит. А",37.0,146723,59.885142,30.368554
"Санкт-Петербург, Ленинский пр-т, 74к3",98.0,81633,59.861589,30.186475
"Санкт-Петербург, Малая Зеленина ул., 1/22",120.0,450000,59.962435,30.282657
"Санкт-Петербург, Выборгский район, муниципальный округ Сампсониевское",46.0,170435,59.974419,30.341299
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 1",24.3,127572,60.039076,30.227959
"Санкт-Петербург, пр-т Маршала Жукова, 48к1",45.5,129670,59.844117,30.212364
"Санкт-Петербург, ул. Уральская, стр. 21А",33.8,177219,59.956309,30.254846
"Санкт-Петербург, территория Усть-Славянка, Заводская ул., 15",57.2,97902,59.831087,30.545037
"Санкт-Петербург, пос. Шушары, Валдайская ул., 1",27.0,105556,59.803667,30.382649
"Санкт-Петербург, Пулковское ш., 38к7",26.8,166045,59.820553,30.327591
"Санкт-Петербург, ул. Среднерогатская, д. 16, корп. 2",37.6,121916,59.822919,30.34138
"Санкт-Петербург, Коломяжский пр-т",49.5,117616,60.00321,30.297713
"Санкт-Петербург, Плесецкая ул., 14",25.8,106589,60.035225,30.218491
"Санкт-Петербург, ул. Салова, д. 61, стр. 1",24.0,170417,59.885142,30.368554
"Санкт-Петербург, Пулковское ш., 103",38.6,108808,59.750758,30.312194
"Санкт-Петербург, пос. Шушары, Пушкинская ул.",26.2,83206,59.801241,30.374753
"Санкт-Петербург, пос. Шушары, Валдайская ул., 4к2",38.2,79058,59.802544,30.379577
"Санкт-Петербург, Ломоносов, Михайловская ул., 51",22.2,75946,59.897578,29.765821
"Санкт-Петербург, ул. Парковая, д. 14, корп. 4",29.9,93462,59.894116,30.338613
"Санкт-Петербург, территория Усть-Славянка, Советский пр-т, 36к2",34.4,119186,59.826696,30.556491
"Санкт-Петербург, ул. Глухарская, 1 этап",22.9,104147,60.027543,30.212679
"Санкт-Петербург, пр-т Московский, уч. 108",25.2,174898,59.893493,30.320099
"Санкт-Петербург, ул. Школьная, 1 оч.",24.4,98789,59.98922,30.298647
"Санкт-Петербург, пер. Общественный, д. 5, стр. 1",42.8,160954,59.902799,30.42672
"Санкт-Петербург, пр-т Комендантский/Глухарская, уч. 305, стр. 3",32.4,144574,60.002202,30.268635
"Санкт-Петербург, Пискаревский пр-т, д. 1",163.2,274457,59.957584,30.405511
"Санкт-Петербург, ул. Заозерная, стр. 1",22.9,209607,59.907325,30.322417
"Санкт-Петербург, ул. Тележная, д. 32А",62.1,171862,59.924001,30.380852
"Санкт-Петербург, Вилеровский пер., 6, Шушары, Санкт-Петербург, Россия, 196626",40.4,102723,59.811609,30.364045
"Санкт-Петербург, пр-т Большевиков, 79к4",45.0,106000,59.873202,30.474744
"Санкт-Петербург, наб. Черной речки, д. 3, лит. А",38.2,194898,59.982532,30.319246
"Санкт-Петербург, наб. Черной речки, д. 3, лит. А",42.4,172309,59.982532,30.319246
"Санкт-Петербург, наб. Черной речки, д. 3, лит. А",56.9,152554,59.982532,30.319246
"Санкт-Петербург, ул. Тележная, д. 32А",51.2,170000,59.924001,30.380852
"Санкт-Петербург, наб. Черной речки, д. 3, лит. А",39.2,191853,59.982532,30.319246
"Санкт-Петербург, Санкт-Петербург, Ждановская ул, 45",119.6,248328,59.962719,30.267485
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",29.0,122400,59.934695,30.208681
"Санкт-Петербург, ул. Парковая, д. 14, корп. 5",72.7,85288,59.894116,30.338613
"Санкт-Петербург, Плесецкая ул.",24.7,113017,60.036474,30.226216
"Санкт-Петербург, ул. Максима Горького, стр. 2, лит. О",46.3,201227,59.766928,30.12795
"Санкт-Петербург, ш. Петергофское, д. 76, корп. 29, лит. А",32.3,106561,59.843521,30.115068
"Санкт-Петербург, дор. Муринская/Пискаревский пр-т, ЖК «Цветной город»",51.5,86000,60.008518,30.480646
"Санкт-Петербург, дор. Муринская/Пискаревский пр-т, ЖК «Цветной город»",35.5,85863,60.008518,30.480646
"Санкт-Петербург, пос. Шушары, территория Пулковское, Кокколевская ул., 9",37.0,101319,59.754588,30.363874
"Санкт-Петербург, Санкт-Петербург, Смольного ул, 4к2, Смол",251.9,536721,59.952263,30.394974
"Санкт-Петербург, пос. Шушары, территория Пулковское, Кокколевская ул.",37.0,98537,59.756002,30.366434
"Санкт-Петербург, Московский пр-т, д. 65, лит. Э",23.6,192673,59.907284,30.317835
"Санкт-Петербург, ул. Среднерогатская, д. 16, корп. 2",36.4,124961,59.822919,30.34138
"Санкт-Петербург, ул. Тележная, д. 32А",48.5,194799,59.924001,30.380852
"Санкт-Петербург, Санкт-Петербург, Басков пер, 2к8",211.9,415191,59.939767,30.353184
"Санкт-Петербург, ул. Тележная, д. 32А",52.0,189963,59.924001,30.380852
"Санкт-Петербург, ул. Тележная, д. 32А",49.0,194040,59.924001,30.380852
"Санкт-Петербург, Санкт-Петербург, Адмиралтейский район, муниципальный округ Измайловское, жилой комплекс Артквартал Аквилон",45.0,150000,59.900471,30.313101
"Санкт-Петербург, Загребский б-р, 9",40.7,135135,59.844985,30.398756
