address,area,price
"Санкт-Петербург, ул. Вадима Шефнера, 10к1",65.0,192308
"Санкт-Петербург, ул. Салова, д. 61, лит. А",37.0,146723
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 1",24.3,127572
"Санкт-Петербург, Пулковское ш., 38к7",26.8,166045
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",28.0,127709
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",62.0,100694
"Санкт-Петербург, пос. Шушары, Московское ш., 276",56.0,66071
"Санкт-Петербург, Вилькицкий б-р, 6",23.0,154348
"Санкт-Петербург, Санкт-Петербург, Мартынова наб, 62",147.7,473934
"Санкт-Петербург, Санкт-Петербург, Вилькицкий б-р, 7",41.0,151220
"Санкт-Петербург, ул. Типанова, 34к2",125.2,116613
"Санкт-Петербург, пос. Шушары, Московское ш., 284",34.0,94118
"Санкт-Петербург, пр-т Комендантский, стр. 6",25.1,123506
"Санкт-Петербург, Санкт-Петербург, Пулковское шоссе, 30",29.8,110738
"Санкт-Петербург, Среднерогатская ул., 14к1",37.0,125676
"Санкт-Петербург, Ленинский пр-т, 72к3",32.3,114551
"Санкт-Петербург, ул. Глухарская, уч. 29",39.7,129248
"Санкт-Петербург, пр-т Аптекарский, д. 5, корп. А",88.1,218500
"Санкт-Петербург, пр-т Аптекарский, д. 5, корп. А",45.9,225153
"Санкт-Петербург, ул. Глухарская, уч. 32, корп. К2",41.0,101220
"Санкт-Петербург, Плесецкая ул., 10",23.0,115217
"Санкт-Петербург, Ленинский пр-т, 55к1",45.1,99778
"Санкт-Петербург, ул. Парашютная, д. 44, корп. 2",78.9,114068
"Санкт-Петербург, Петергофское ш.",43.6,115298
"Санкт-Петербург, Парашютная ул., 34",24.0,122917
"Санкт-Петербург, ул. Вадима Шефнера, д. 4",27.0,122844
"Санкт-Петербург, пос. Шушары, территория Славянка, Галицкая ул., 19к6",72.0,81944
"Санкт-Петербург, ул. Кораблестроителей, 32к3",40.1,172070
"Санкт-Петербург, Россия, Санкт-Петербург, Красногвардейский, Энтузиастов пр., 31к3",87.0,97701
"Санкт-Петербург, Пушкин, ул. Архитектора Данини, 5",45.0,118889
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 1",51.3,116195
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 6",33.7,131421
"Санкт-Петербург, пос. Шушары, Московское ш., 246",25.2,109127
"Санкт-Петербург, ул. Плесецкая, д. 20, корп. 2",32.6,130368
"Санкт-Петербург, ул. Глухарская, уч. 29",35.4,129041
"Санкт-Петербург, ул. Глухарская, уч. 32, корп. К1, этап. 1",22.9,111354
"Санкт-Петербург, пр-т Космонавтов, ЖК «Звездный Дуэт»",36.8,132108
"Санкт-Петербург, д. Низино, Центральная ул., 13к2",36.0,69444
"Санкт-Петербург, Ленинский пр-т, 64к1",39.3,65547
"Санкт-Петербург, ул. Глухарская, уч. 18",23.0,117391
"Санкт-Петербург, Пушкин, Анциферовская ул., 14к1",44.3,101580
"Санкт-Петербург, пр-т Космонавтов, ЖК «Звездный Дуэт»",35.1,133500
"Санкт-Петербург, пр-т Космонавтов, ЖК «Звездный Дуэт»",70.7,134538
"Санкт-Петербург, пр-т Энгельса, стр. 20",55.1,109256
"Санкт-Петербург, Русановская ул., 15к1",56.5,95575
"Санкт-Петербург, Юнтоловский пр-т, 45к1",84.5,100592
"Санкт-Петербург, Приморский район, муниципальный округ Коломяги",34.8,97701
"Санкт-Петербург, Приморский район",35.2,106444
"Санкт-Петербург, ул. Школьная, 1 оч.",51.1,89879
"Санкт-Петербург, ул. Республиканская, д. 35, лит. А",37.0,152703
"Санкт-Петербург, Санкт-Петербург, Глухарская улица",20.8,117612
"Санкт-Петербург, Планерная ул., 63к1",29.0,131379
"Санкт-Петербург, пос. Парголово, ул. Михаила Дудина, 12",54.0,125000
"Санкт-Петербург, ул. 11-я Красноармейская, стр. 1",80.7,216432
"Санкт-Петербург, ул. Барочная, ЖК «Futurist» (Футурист)",97.1,244078
"Санкт-Петербург, тер. Ленсоветовский, уч. 113",25.8,71972
"Санкт-Петербург, Санкт-Петербург, улица Мира, 37",32.0,243750
"Санкт-Петербург, Приморский район, муниципальный округ Юнтолово",22.8,118421
